"symbol","date","open","high","low","close","volume","adjusted"
"ADBE",1999-08-10,10.796875,10.890625,10.78125,10.8359384536743,7600000,10.7502861022949
"ADBE",1999-08-11,10.875,10.90625,10.7109384536743,10.8828134536743,22321600,10.7967920303345
"ADBE",1999-08-12,10.8671884536743,10.9296884536743,10.578125,10.75,3567200,10.6650257110596
"ADBE",1999-08-13,10.875,11.21875,10.875,11.1171884536743,16993600,11.0293121337891
"ADBE",1999-08-16,11.265625,11.53125,11.21875,11.5,8788800,11.4090957641602
"ADBE",1999-08-17,11.609375,12,11.5625,11.9921884536743,8701600,11.8973941802979
"ADBE",1999-08-18,11.9140634536743,12.1171884536743,11.8671884536743,11.8984384536743,7116800,11.804386138916
"ADBE",1999-08-19,11.78125,12,11.3125,11.984375,20215200,11.8896446228027
"ADBE",1999-08-20,11.9921884536743,12.390625,11.9921884536743,12.375,7283200,12.2771825790405
"ADBE",1999-08-23,12.46875,13.15625,12.421875,13.125,13044000,13.0212545394897
"ADBE",1999-08-24,12.85546875,13.15625,12.703125,12.8828134536743,6102400,12.7809820175171
"ADBE",1999-08-25,12.94921875,12.953125,12.4375,12.4921884536743,9248000,12.393443107605
"ADBE",1999-08-26,12.453125,12.78125,12.2109384536743,12.234375,5470400,12.1376714706421
"ADBE",1999-08-27,12.375,12.4765634536743,12.109375,12.359375,6287200,12.2616806030273
"ADBE",1999-08-30,12.40625,12.7109384536743,12.140625,12.1640634536743,4251200,12.0679140090942
"ADBE",1999-08-31,12.171875,12.53125,11.859375,12.453125,5440000,12.3546915054321
"ADBE",1999-09-01,12.6328134536743,12.640625,12.125,12.296875,6166400,12.1996736526489
"ADBE",1999-09-02,12.234375,12.5,12.140625,12.34375,2830400,12.2461786270142
"ADBE",1999-09-03,12.59375,13.15625,12.546875,13.125,7052800,13.0212545394897
"ADBE",1999-09-07,13.03125,13.2109384536743,12.90625,13.078125,3740000,12.9747514724731
"ADBE",1999-09-08,13.03125,13.046875,12.6484384536743,12.75,6497600,12.6492195129395
"ADBE",1999-09-09,12.75,12.9375,12.515625,12.9375,7180000,12.8352365493774
"ADBE",1999-09-10,13.0390634536743,13.078125,12.796875,12.8984384536743,3905600,12.796483039856
"ADBE",1999-09-13,12.75,12.828125,12.375,12.8046884536743,4894400,12.7034730911255
"ADBE",1999-09-14,12.60546875,13.21875,12.578125,13.1953134536743,8622400,13.0910110473633
"ADBE",1999-09-15,13.125,13.40625,11.8828134536743,11.9140634536743,19216800,11.8198862075806
"ADBE",1999-09-16,12.09375,12.5390634536743,11.921875,12.234375,15154400,12.1376714706421
"ADBE",1999-09-17,13.125,13.4375,13.03125,13.125,32128000,13.0212545394897
"ADBE",1999-09-20,13.4296884536743,13.71875,13.28125,13.55859375,11098400,13.4514198303223
"ADBE",1999-09-21,13.625,13.671875,13.0625,13.2734384536743,6748000,13.1685180664062
"ADBE",1999-09-22,13.34375,13.6171884536743,13.28125,13.390625,9153600,13.2847776412964
"ADBE",1999-09-23,13.5,14,13.3828134536743,13.515625,11075200,13.4087896347046
"ADBE",1999-09-24,13.4375,13.84375,13.3046884536743,13.8203134536743,8616000,13.7174158096313
"ADBE",1999-09-27,13.859375,14.3359384536743,13.84375,14.2265634536743,9145600,14.1206398010254
"ADBE",1999-09-28,14.125,14.1640634536743,13.609375,13.828125,12134400,13.7251672744751
"ADBE",1999-09-29,13.828125,14.25,13.71875,13.765625,7503200,13.6631345748901
"ADBE",1999-09-30,14.203125,14.255859375,13.421875,14.1875,11580800,14.0818662643433
"ADBE",1999-10-01,14.171875,14.234375,13.796875,14.1484384536743,5868800,14.0430965423584
"ADBE",1999-10-04,14.3515634536743,14.75,14.15625,14.7265634536743,6692000,14.6169157028198
"ADBE",1999-10-05,14.765625,15.2421884536743,13.96875,14.3359384536743,14446400,14.2291984558105
"ADBE",1999-10-06,14.453125,14.6640634536743,14.359375,14.5703134536743,5610400,14.4618301391602
"ADBE",1999-10-07,14.625,14.6484384536743,14.1484384536743,14.4140634536743,7252800,14.3067426681519
"ADBE",1999-10-08,14.4453134536743,14.453125,14.0625,14.328125,3543200,14.2214431762695
"ADBE",1999-10-11,14.40625,15.0859384536743,14.375,15,7292800,14.8883152008057
"ADBE",1999-10-12,14.9765634536743,15.25,14.6875,14.7578134536743,7396800,14.6479330062866
"ADBE",1999-10-13,14.625,14.9140634536743,14.375,14.625,8777600,14.5161094665527
"ADBE",1999-10-14,14.640625,14.875,14.5625,14.7734384536743,6943200,14.66344165802
